ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
AFG,Afghanistan,SA,SA,Least Developed,37,47,28,42,19,42,47,46,32,16
ALB,Albania,ECA,EECA,More Developed,2,2,3,4,1,4,3,2,2,1
DZA,Algeria,MENA,MENA,Less Developed,2,2,2,2,2,3,2,2,2,1
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,
AGO,Angola,SSA,ESA,Least Developed,22,22,21,35,14,39,33,19,12,5
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,
ARG,Argentina,LAC,LAC,Less Developed,1,1,2,0,0,1,0,2,2,1
ARM,Armenia,ECA,EECA,Less Developed,5,4,5,6,3,6,7,6,3,2
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,
BGD,Bangladesh,SA,SA,Least Developed,6,5,8,6,6,9,7,5,6,4
BRB,Barbados,LAC,LAC,Less Developed,1,1,0,1,0,1,0,0,2,0
BLR,Belarus,ECA,EECA,More Developed,0,0,1,0,0,0,0,0,1,0
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,
BLZ,Belize,LAC,LAC,Less Developed,2,2,2,3,1,4,4,1,1,0
BEN,Benin,SSA,WCA,Least Developed,32,35,28,38,21,59,39,30,15,7
BTN,Bhutan,SA,SA,Least Developed,8,7,9,10,3,15,11,6,4,3
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,3,4,2,3,3,7,1,3,1,3
BWA,Botswana,SSA,ESA,Less Developed,1,1,1,1,1,,,,,
BRA,Brazil,LAC,LAC,Less Developed,0,0,1,1,0,1,1,0,0,0
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,48,50,46,55,17,69,58,50,40,15
BDI,Burundi,SSA,ESA,Least Developed,18,18,18,19,6,36,21,14,11,6
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,
KHM,Cambodia,EAP,EAP,Least Developed,6,5,7,7,3,13,8,4,3,2
CMR,Cameroon,SSA,WCA,Less Developed,15,17,14,24,6,37,18,10,4,2
CAN,Canada,NA,NA,More Developed,,,,,,,,,,
CAF,Central African Republic,SSA,WCA,Least Developed,26,31,21,33,13,42,36,26,17,8
TCD,Chad,SSA,WCA,Least Developed,50,53,47,55,28,55,53,57,55,24
CHL,Chile,LAC,LAC,Less Developed,1,1,2,1,2,,,,,
CHN,China,EAP,EAP,Less Developed,5,5,5,5,5,,,,,
